t_sec,mem_available_mb
0,7156.6
1,7156.5
2,7156.6
4,7135.1
4,7116.2
6,7145.8
6,7145.6
8,7146.0
8,7145.8
9,7145.4
10,7145.4
11,7145.1
12,7144.6
13,7144.4
14,7144.8
15,7144.8
16,7144.9
17,7145.4
18,7145.2
19,7140.0
20,7140.0
21,7140.2
22,7140.0
23,7140.3
24,7140.1
25,7139.9
26,7140.3
27,7140.3
28,7140.7
29,7141.1
30,7141.4
31,7145.6
32,7146.1
34,7146.3
34,7145.9
36,7145.9
36,7145.4
38,7197.5
38,7193.3
40,7192.7
40,7192.7
42,7193.4
42,7193.6
44,7193.6
44,7194.0
46,7194.2
46,7194.1
48,7102.0
48,7101.7
50,7101.0
50,7100.9
52,7100.6
52,7100.4
54,7100.6
54,7101.1
56,7101.0
56,7101.0
58,7100.9
58,7101.1
60,7101.6
60,7143.8
62,7143.6
62,7143.1
64,7142.7
64,7143.0
66,7143.0
66,7142.8
68,7142.3
68,7142.3
70,7142.9
70,7142.8
72,7143.1
72,7142.5
74,7142.6
74,7142.6
76,7143.2
76,7143.0
78,7142.9
78,7143.0
80,7142.8
80,7142.5
82,7142.0
82,7142.1
84,7141.8
84,7141.0
86,7065.0
86,7064.9
88,7065.3
88,7065.9
90,7066.5
90,7066.5
92,7066.4
92,7067.1
94,7067.3
94,7067.5
96,7067.8
96,7067.7
98,7101.2
98,7100.5
100,7100.7
100,7100.6
102,7100.2
102,7100.2
104,7100.0
104,7100.1
106,7100.6
106,7101.0
108,7101.1
108,7101.0
110,7101.5
110,7102.0
112,7101.9
112,7070.4
114,7070.5
114,7070.5
116,7070.5
116,7070.5
118,7069.9
118,7069.5
120,7069.5
120,7069.3
122,7069.1
122,7068.8
124,7068.7
124,7068.6
126,7069.1
126,7069.2
128,7068.8
128,7068.5
130,7068.4
130,7068.0
132,7067.9
132,7078.7
134,7093.7
134,7108.7
136,7156.5
136,7171.0
138,7184.2
138,7197.7
140,7209.9
140,7220.0
142,7229.2
142,7237.5
144,7244.4
144,7250.5
146,7255.6
146,7258.3
148,7259.3
148,7259.4
150,7258.5
150,7255.1
152,7250.7
152,7244.4
154,7236.5
154,7117.5
156,7107.5
156,7096.5
158,7084.3
158,7072.1
160,7058.1
160,7043.9
162,7029.2
162,7014.2
164,6999.0
164,6991.6
166,6991.7
166,6991.1
168,6991.4
168,7041.1
170,7041.6
170,7042.1
172,7042.2
172,7042.1
174,7042.2
174,7042.3
176,7042.2
176,7042.0
178,7041.7
178,7041.3
180,7041.2
180,7041.0
182,7040.4
182,7040.0
184,7040.2
184,7040.4
186,7040.6
186,7039.9
188,7040.3
188,7040.6
190,7041.1
190,7041.8
192,7042.1
192,7041.9
194,7041.5
194,7041.9
196,6953.1
196,6953.5
198,6953.2
198,6952.4
200,6952.0
200,6952.4
202,6952.5
202,6952.4
204,6952.6
204,6952.4
206,6952.7
206,6993.1
208,6993.1
208,6992.4
210,6992.3
210,6992.2
212,6992.5
212,6992.0
214,6991.7
