t_sec,mem_available_mb
0,7476.2
1,7476.0
2,7475.9
4,7437.5
4,7437.8
6,7417.6
6,7417.6
8,7417.6
8,7415.2
9,7414.9
10,7414.2
11,7414.6
12,7414.6
13,7413.8
14,7413.0
15,7413.5
16,7442.6
17,7372.8
18,7373.3
19,7385.4
20,7387.0
21,7389.2
22,7391.0
23,7391.2
24,7389.5
25,7387.2
26,7386.6
27,7386.8
28,7385.5
29,7383.2
30,7382.7
31,7383.2
32,7383.4
34,7385.1
34,7386.3
36,7385.5
36,7387.0
38,7387.8
38,7387.7
40,7387.6
40,7386.9
42,7385.7
42,7385.3
44,7387.3
44,7386.4
46,7386.6
46,7386.1
48,7385.6
48,7385.7
50,7386.7
50,7387.8
52,7386.5
52,7385.5
54,7385.0
54,7384.9
56,7384.3
56,7384.5
58,7382.2
58,7380.7
60,7380.2
60,7380.5
62,7382.1
62,7382.4
64,7381.9
64,7382.3
66,7384.8
66,7385.7
68,7384.6
68,7384.8
70,7383.8
70,7384.3
72,7385.1
72,7386.3
74,7386.5
74,7387.1
76,7387.2
76,7386.0
78,7385.1
78,7384.0
80,7384.1
80,7383.0
82,7380.8
82,7378.9
84,7379.4
84,7380.5
86,7380.5
86,7381.5
88,7381.2
88,7380.1
90,7380.4
90,7379.7
92,7379.3
92,7379.0
94,7379.4
94,7379.8
96,7380.8
96,7382.2
98,7383.2
98,7384.9
100,7385.8
100,7386.1
102,7386.4
102,7384.8
104,7383.4
104,7382.5
106,7382.8
106,7382.1
108,7382.3
108,7382.4
110,7382.4
110,7383.0
112,7384.5
112,7384.4
114,7383.8
114,7385.8
116,7385.7
116,7386.7
118,7385.8
118,7385.8
120,7384.3
120,7384.1
122,7384.2
122,7381.0
124,7380.5
124,7380.4
126,7380.7
126,7381.8
128,7383.2
128,7384.1
130,7384.1
130,7386.0
132,7385.9
132,7386.9
134,7388.6
134,7388.3
136,7387.5
136,7387.7
138,7388.6
138,7389.3
140,7390.8
140,7389.9
142,7388.8
142,7388.2
144,7387.8
144,7387.6
146,7387.2
146,7385.8
148,7385.4
148,7384.6
150,7383.2
150,7382.2
152,7382.3
152,7382.8
154,7381.7
154,7380.6
156,7379.4
156,7379.5
158,7380.0
158,7380.7
160,7380.1
160,7378.7
162,7379.2
162,7380.4
164,7381.1
164,7380.5
166,7379.9
166,7380.3
168,7381.8
168,7383.5
170,7383.9
170,7384.9
172,7384.6
172,7385.6
174,7387.2
174,7387.2
176,7387.1
176,7385.9
178,7386.8
178,7387.3
180,7387.7
180,7388.0
182,7386.7
182,7387.1
184,7387.5
184,7387.6
186,7385.3
186,7383.9
188,7383.8
188,7382.9
190,7382.8
190,7381.7
192,7381.4
192,7381.0
194,7381.7
194,7382.1
196,7381.3
196,7380.8
198,7382.6
198,7383.6
200,7416.9
200,7417.8
202,7418.2
202,7419.3
204,7420.7
204,7421.5
206,7421.8
206,7422.0
208,7421.9
208,7421.8
210,7422.3
210,7421.4
212,7420.1
212,7418.5
214,7417.2
214,7416.3
216,7416.5
216,7416.1
218,7415.3
218,7414.5
220,7324.1
220,7325.8
222,7334.4
222,7335.0
224,7335.4
224,7335.1
226,7335.2
226,7335.6
228,7336.7
228,7337.4
230,7336.5
230,7334.9
232,7333.7
232,7333.8
234,7334.0
234,7335.0
236,7334.4
236,7333.6
238,7334.7
238,7335.0
240,7333.9
240,7333.7
242,7333.0
242,7330.7
244,7331.1
244,7332.4
246,7330.3
246,7332.4
248,7334.4
248,7329.8
250,7329.1
250,7331.1
252,7331.9
252,7330.5
254,7330.3
254,7330.2
256,7330.3
256,7332.3
258,7333.6
258,7333.1
260,7332.2
260,7332.0
262,7333.5
262,7333.3
264,7331.9
264,7330.8
266,7331.6
266,7332.4
268,7332.9
268,7333.7
270,7331.8
270,7332.2
272,7333.9
272,7336.1
274,7413.7
274,7486.6
276,7556.5
276,7567.7
278,7620.0
278,7655.0
280,7677.9
280,7678.6
282,7672.3
282,7651.3
284,7615.7
284,7607.2
286,7547.1
286,7479.0
288,7344.2
288,7279.0
290,7272.7
290,7273.7
292,7272.5
292,7273.4
294,7274.1
294,7273.8
296,7273.5
296,7271.8
298,7269.1
298,7269.2
300,7269.9
300,7270.6
302,7269.3
302,7270.1
304,7293.8
304,7247.6
306,7276.6
306,7229.7
308,7229.4
308,7228.9
310,7229.6
310,7227.9
312,7227.5
312,7228.8
314,7230.7
314,7231.4
316,7231.3
316,7230.2
318,7231.2
318,7231.9
320,7232.1
320,7232.5
322,7232.3
322,7231.1
324,7231.4
324,7231.9
326,7231.5
326,7232.3
328,7232.9
328,7233.0
330,7233.2
330,7234.5
332,7235.1
332,7236.1
334,7236.4
334,7236.1
336,7234.3
336,7232.8
338,7232.9
338,7232.6
340,7231.9
340,7231.6
342,7231.1
342,7231.1
344,7175.0
344,7175.6
346,7191.2
346,7192.0
348,7183.1
348,7182.7
350,7172.3
350,7214.5
352,7214.3
352,7184.7
354,7184.2
354,7183.8
356,7239.2
356,7239.4
358,7197.2
358,7249.1
360,7235.4
360,7234.2
362,7234.2
362,7267.6
364,7217.7
364,7261.3
366,7198.5
366,7207.3
368,7209.3
368,7209.2
370,7208.9
370,7207.6
372,7205.4
372,7204.2
374,7203.3
374,7205.2
376,7203.6
376,7204.1
378,7207.3
378,7260.7
380,7262.4
380,7265.2
382,7265.3
382,7265.3
384,7267.5
384,7268.4
386,7266.0
386,7265.1
388,7264.9
388,7263.6
390,7264.6
390,7262.9
392,7260.7
392,7259.2
394,7259.3
394,7257.9
396,7258.3
396,7258.7
398,7258.0
398,7258.1
400,7257.8
400,7258.1
402,7258.1
402,7258.6
404,7258.1
404,7256.9
406,7258.5
406,7260.5
408,7261.1
408,7261.7
410,7261.1
410,7261.0
412,7261.4
412,7263.7
414,7262.6
414,7260.8
416,7262.3
416,7262.6
418,7262.7
418,7262.2
420,7260.5
420,7259.0
422,7258.8
422,7258.2
424,7257.7
424,7256.5
426,7256.9
426,7258.2
428,7259.6
428,7293.4
430,7293.1
430,7293.8
432,7293.2
432,7294.1
434,7294.5
434,7293.4
436,7293.0
436,7292.6
438,7293.1
438,7292.3
440,7293.4
440,7295.0
442,7295.2
442,7296.5
444,7298.8
444,7298.5
446,7298.9
446,7301.0
448,7299.8
448,7297.7
450,7297.2
450,7296.9
452,7295.9
452,7297.1
454,7297.4
454,7295.6
456,7295.6
456,7274.3
458,7274.3
458,7274.4
460,7261.0
460,7271.3
462,7270.8
462,7275.6
464,7274.7
464,7274.8
466,7275.8
466,7276.1
468,7276.9
468,7277.5
470,7277.3
470,7276.1
472,7276.3
472,7278.4
474,7277.4
474,7277.1
476,7276.2
476,7276.5
478,7276.8
478,7277.7
480,7278.6
480,7277.3
482,7277.1
482,7276.3
484,7276.6
484,7276.8
486,7275.5
486,7312.0
488,7312.7
488,7312.8
490,7313.2
490,7312.8
492,7313.2
492,7312.6
494,7312.3
494,7312.8
496,7312.4
496,7312.9
498,7313.6
498,7314.3
500,7285.3
500,7285.4
502,7254.9
502,7255.5
504,7256.2
504,7254.0
506,7252.6
506,7252.2
508,7253.4
508,7252.7
510,7253.6
510,7253.6
512,7252.8
512,7255.6
514,7257.5
514,7255.9
516,7255.3
516,7255.1
518,7256.1
518,7256.1
520,7256.0
520,7254.5
522,7253.1
522,7254.6
524,7255.0
524,7255.3
526,7255.3
526,7255.7
528,7255.2
528,7254.4
530,7255.3
530,7254.9
532,7253.8
532,7253.0
534,7251.4
534,7251.1
536,7145.8
536,7210.2
538,7126.0
538,7133.9
540,7135.5
540,7135.9
542,7136.2
542,7135.6
544,7137.0
544,7136.9
546,7136.4
546,7137.5
548,7136.6
548,7136.8
550,7137.9
550,7139.1
552,7139.3
552,7139.6
