t_sec,mem_available_mb
0,7408.6
1,7408.3
2,7408.1
4,7356.9
4,7357.3
6,7330.4
6,7330.3
8,7330.3
8,7327.1
9,7326.8
10,7325.8
11,7326.3
12,7326.4
13,7325.3
14,7324.2
15,7324.8
16,7363.7
17,7270.6
18,7271.2
19,7287.4
20,7289.5
21,7292.5
22,7294.9
23,7295.2
24,7292.9
25,7289.8
26,7289.0
27,7289.3
28,7287.5
29,7284.5
30,7283.7
31,7284.4
32,7284.8
34,7286.9
34,7288.6
36,7287.6
36,7289.5
38,7290.6
38,7290.5
40,7290.3
40,7289.4
42,7287.8
42,7287.2
44,7289.9
44,7288.7
46,7289.0
46,7288.3
48,7287.6
48,7287.8
50,7289.1
50,7290.7
52,7288.9
52,7287.6
54,7286.8
54,7286.8
56,7285.9
56,7286.2
58,7283.2
58,7281.1
60,7280.5
60,7280.9
62,7283.0
62,7283.4
64,7282.8
64,7283.2
66,7286.6
66,7287.8
68,7286.4
68,7286.6
70,7285.2
70,7286.0
72,7286.9
72,7288.6
74,7288.9
74,7289.6
76,7289.8
76,7288.2
78,7287.0
78,7285.5
80,7285.6
80,7284.3
82,7281.3
82,7278.8
84,7279.4
84,7280.9
86,7280.9
86,7282.2
88,7281.7
88,7280.3
90,7280.8
90,7279.8
92,7279.3
92,7278.9
94,7279.4
94,7280.0
96,7281.3
96,7283.1
98,7284.4
98,7286.8
100,7287.9
100,7288.4
102,7288.8
102,7286.6
104,7284.7
104,7283.5
106,7283.9
106,7283.1
108,7283.2
108,7283.4
110,7283.4
110,7284.2
112,7286.2
112,7286.1
114,7285.3
114,7288.0
116,7287.8
116,7289.1
118,7288.0
118,7288.0
120,7285.9
120,7285.6
122,7285.8
122,7281.5
124,7280.9
124,7280.8
126,7281.2
126,7282.6
128,7284.4
128,7285.6
130,7285.7
130,7288.2
132,7288.1
132,7289.4
134,7291.7
134,7291.2
136,7290.1
136,7290.4
138,7291.7
138,7292.6
140,7294.7
140,7293.3
142,7291.9
142,7291.2
144,7290.6
144,7290.4
146,7289.8
146,7288.0
148,7287.4
148,7286.3
150,7284.5
150,7283.1
152,7283.2
152,7284.0
154,7282.5
154,7281.0
156,7279.4
156,7279.5
158,7280.2
158,7281.1
160,7280.4
160,7278.5
162,7279.2
162,7280.8
164,7281.7
164,7280.9
166,7280.0
166,7280.5
168,7282.6
168,7284.9
170,7285.4
170,7286.7
172,7286.3
172,7287.6
174,7289.8
174,7289.8
176,7289.6
176,7288.1
178,7289.3
178,7289.9
180,7290.5
180,7290.8
182,7289.1
182,7289.6
184,7290.3
184,7290.4
186,7287.3
186,7285.4
188,7285.3
188,7284.1
190,7284.0
190,7282.5
192,7282.0
192,7281.5
194,7282.5
194,7283.0
196,7282.0
196,7281.3
198,7283.6
198,7285.1
200,7329.4
200,7330.7
202,7331.2
202,7332.7
204,7334.5
204,7335.5
206,7336.0
206,7336.3
208,7336.1
208,7336.0
210,7336.6
210,7335.4
212,7333.7
212,7331.5
214,7329.8
214,7328.6
216,7328.8
216,7328.4
218,7327.3
218,7326.2
220,7205.6
220,7207.9
222,7219.3
222,7220.2
224,7220.7
224,7220.3
226,7220.5
226,7221.0
228,7222.4
228,7223.3
230,7222.2
230,7220.0
232,7218.5
232,7218.5
234,7218.8
234,7220.1
236,7219.3
236,7218.3
238,7219.8
238,7220.2
240,7218.7
240,7218.4
242,7217.5
242,7214.5
244,7214.9
244,7216.7
246,7213.9
246,7216.7
248,7219.3
248,7213.2
250,7212.2
250,7214.9
252,7216.1
252,7214.2
254,7213.9
254,7213.8
256,7213.9
256,7216.6
258,7218.3
258,7217.6
260,7216.5
260,7216.1
262,7218.1
262,7217.9
264,7216.0
264,7214.6
266,7215.6
266,7216.8
268,7217.4
268,7218.4
270,7215.9
270,7216.4
272,7218.8
272,7221.6
274,7325.1
274,7422.4
276,7515.6
276,7530.6
278,7600.3
278,7647.0
280,7677.6
280,7678.5
282,7670.0
282,7642.0
284,7594.5
284,7583.2
286,7503.0
286,7412.3
288,7232.5
288,7145.5
290,7137.0
290,7138.4
292,7136.9
292,7138.1
294,7139.0
294,7138.6
296,7138.1
296,7135.9
298,7132.3
298,7132.4
300,7133.3
300,7134.2
302,7132.6
302,7133.6
304,7165.2
304,7103.6
306,7142.3
306,7079.7
308,7079.3
308,7078.6
310,7079.6
310,7077.3
312,7076.8
312,7078.6
314,7081.1
314,7082.0
316,7081.9
316,7080.4
318,7081.7
318,7082.6
320,7082.9
320,7083.5
322,7083.2
322,7081.6
324,7082.1
324,7082.7
326,7082.2
326,7083.2
328,7084.0
328,7084.1
330,7084.4
330,7086.1
332,7086.9
332,7088.2
334,7088.7
334,7088.3
336,7085.9
336,7083.9
338,7084.1
338,7083.5
340,7082.7
340,7082.2
342,7081.6
342,7081.6
344,7006.8
344,7007.5
346,7028.4
346,7029.5
348,7017.6
348,7017.0
350,7003.1
350,7059.4
352,7059.2
352,7019.8
354,7019.0
354,7018.6
356,7092.4
356,7092.6
358,7036.4
358,7105.6
360,7087.4
360,7085.7
362,7085.7
362,7130.3
364,7063.7
364,7121.9
366,7038.2
366,7049.8
368,7052.6
368,7052.4
370,7052.0
370,7050.3
372,7047.4
372,7045.7
374,7044.6
374,7047.1
376,7045.0
376,7045.6
378,7049.9
378,7121.1
380,7123.3
380,7127.1
382,7127.3
382,7127.2
384,7130.2
384,7131.4
386,7128.2
386,7126.9
388,7126.7
388,7124.9
390,7126.3
390,7124.0
392,7121.0
392,7119.0
394,7119.2
394,7117.4
396,7117.9
396,7118.4
398,7117.4
398,7117.7
400,7117.2
400,7117.7
402,7117.6
402,7118.3
404,7117.6
404,7116.0
406,7118.1
406,7120.8
408,7121.6
408,7122.4
410,7121.6
410,7121.5
412,7122.0
412,7125.1
414,7123.6
414,7121.2
416,7123.2
416,7123.6
418,7123.7
418,7123.1
420,7120.8
420,7118.8
422,7118.5
422,7117.7
424,7117.0
424,7115.5
426,7116.0
426,7117.7
428,7119.7
428,7164.7
430,7164.3
430,7165.2
432,7164.4
432,7165.6
434,7166.2
434,7164.7
436,7164.2
436,7163.7
438,7164.3
438,7163.3
440,7164.6
440,7166.8
442,7167.2
442,7168.8
444,7171.9
444,7171.5
446,7172.0
446,7174.8
448,7173.2
448,7170.5
450,7169.7
450,7169.4
452,7168.0
452,7169.6
454,7170.1
454,7167.7
456,7167.7
456,7139.2
458,7139.2
458,7139.4
460,7121.5
460,7135.2
462,7134.6
462,7141.0
464,7139.8
464,7139.9
466,7141.2
466,7141.6
468,7142.7
468,7143.5
470,7143.3
470,7141.6
472,7141.9
472,7144.7
474,7143.4
474,7143.0
476,7141.8
476,7142.1
478,7142.6
478,7143.7
480,7145.0
480,7143.2
482,7142.9
482,7141.9
484,7142.3
484,7142.5
486,7140.9
486,7189.5
488,7190.4
488,7190.5
490,7191.0
490,7190.5
492,7191.1
492,7190.4
494,7189.9
494,7190.6
496,7190.0
496,7190.7
498,7191.6
498,7192.6
500,7153.9
500,7154.0
502,7113.3
502,7114.1
504,7115.0
504,7112.1
506,7110.3
506,7109.8
508,7111.4
508,7110.5
510,7111.6
510,7111.6
512,7110.5
512,7114.3
514,7116.8
514,7114.7
516,7113.8
516,7113.6
518,7115.0
518,7114.9
520,7114.8
520,7112.8
522,7110.9
522,7113.0
524,7113.5
524,7113.9
526,7113.8
526,7114.5
528,7113.8
528,7112.6
530,7113.9
530,7113.4
532,7111.9
532,7110.8
534,7108.7
534,7108.3
536,6967.8
536,7053.8
538,6941.4
538,6952.0
540,6954.0
540,6954.6
542,6955.0
542,6954.3
544,6956.0
544,6955.9
546,6955.4
546,6956.8
548,6955.6
548,6955.9
550,6957.2
550,6958.9
552,6959.1
552,6959.6
554,6960.5
554,6959.9
556,6960.9
556,7083.5
558,7080.8
558,7094.6
560,7094.4
560,7179.3
562,7185.0
562,7225.2
564,7270.4
564,7313.7
566,7359.2
566,7404.3
568,7444.5
568,7480.1
570,7513.2
570,7542.5
572,7570.1
572,7596.6
574,7617.2
574,7632.1
576,7644.4
576,7649.9
578,7529.4
578,7637.9
580,7545.0
580,7469.1
582,7498.7
582,7477.9
584,7449.6
584,7420.4
586,7492.9
586,7457.6
588,7382.6
588,7342.0
590,7298.3
590,7251.5
592,7205.6
592,7185.4
594,7055.8
594,7076.3
596,7004.5
596,7059.9
598,7056.9
598,7055.7
600,7168.8
600,7170.4
602,7152.5
602,7153.7
604,7154.7
604,7155.2
606,7158.6
606,7161.5
608,7163.9
608,7164.6
610,7163.2
610,7163.5
612,7163.6
612,7164.5
614,7162.0
614,7083.0
616,7039.7
616,7075.8
618,7056.0
618,7056.6
620,7075.8
620,7074.1
622,7065.5
622,7065.4
624,7099.9
624,7116.6
626,7119.7
626,7095.7
628,7093.3
628,7093.6
630,7092.3
630,7092.6
632,7093.3
632,7094.8
634,7094.5
634,7047.7
636,7048.2
636,7026.4
638,7029.4
638,7000.9
640,7037.1
640,7044.9
642,7074.9
642,7073.1
644,7128.1
644,7128.4
646,7121.5
646,7120.8
648,7119.9
648,7119.2
650,7119.9
650,7118.6
652,7118.2
652,7119.7
654,7033.5
654,7023.9
656,7023.4
656,7014.2
658,7012.4
658,7028.0
660,7132.3
660,7131.6
662,7113.4
662,7114.2
664,7115.3
664,7114.0
666,7115.5
666,7025.5
668,6992.8
668,6974.4
670,6950.5
670,7011.7
672,7009.6
672,6949.2
674,6949.4
674,6936.4
676,7002.2
676,6846.8
678,6962.8
678,6892.8
680,6894.5
680,6895.7
682,6894.7
682,6935.5
684,6935.9
684,6926.6
686,6926.7
686,6975.6
688,6975.7
688,6992.4
690,6992.3
690,6970.6
692,6969.6
692,6966.7
694,6968.0
694,6969.1
696,6970.7
696,6970.6
698,6887.1
698,6913.8
700,6957.8
700,6940.4
702,6900.0
702,7013.8
704,7011.5
704,6996.9
706,6996.3
706,6994.7
708,6811.0
708,6831.7
710,6862.6
710,6890.5
712,6805.7
712,6805.1
714,6921.7
714,6970.8
716,6971.5
716,6947.2
718,6947.6
718,6948.1
720,6950.3
720,6949.6
722,6952.1
722,6656.7
724,6656.0
724,6678.5
726,6678.5
726,6679.4
728,6677.9
728,6679.5
730,6677.0
730,6780.1
732,6719.9
732,6748.2
734,6743.4
734,6726.9
736,6725.8
736,6725.3
738,6727.3
738,6726.1
740,6725.9
740,6724.7
742,6723.6
742,6723.3
744,6723.6
744,6721.4
746,6721.0
746,6724.7
748,6724.6
748,6726.2
750,6726.6
750,6725.9
752,6726.3
752,6728.8
754,6727.1
754,6723.0
756,6724.8
756,6723.7
758,6723.6
758,6722.9
760,6722.2
760,6720.4
762,6721.5
762,6724.8
764,6724.9
764,6725.9
766,6725.9
766,6729.0
768,6729.5
768,6730.8
770,6731.0
770,6731.4
772,6730.5
772,6730.8
774,6728.9
774,6807.5
776,6807.1
776,6827.4
778,6827.9
778,6825.0
780,6825.1
780,6824.9
782,6825.6
782,6852.3
784,6724.2
784,6808.9
786,6737.5
786,6700.5
788,6701.0
788,6701.0
790,6703.3
790,6842.4
792,6844.0
792,6849.8
794,6848.4
794,6848.1
796,6847.1
796,6846.3
798,6846.8
798,6846.5
800,6846.4
800,6850.2
802,6894.4
802,6894.5
804,6893.2
804,6894.4
806,6891.9
806,6933.6
808,6934.2
808,6932.6
810,6875.9
810,6808.6
812,6846.9
812,6807.1
814,6836.8
814,6831.7
816,6920.9
816,6921.1
818,6883.1
818,6883.7
820,6882.4
820,6883.4
822,6884.3
822,6886.2
824,6886.3
824,6885.6
826,6886.4
826,6886.5
828,6885.3
828,6886.2
830,6755.6
830,6832.2
832,6767.3
832,6885.9
834,6826.0
834,6824.7
836,6919.5
836,6917.9
838,6887.0
838,6908.8
840,7010.3
840,7114.6
842,7213.6
842,7302.3
844,7376.0
844,7437.2
846,7520.0
846,7443.9
848,7418.7
848,7423.0
850,7411.9
850,7459.5
852,7394.0
852,7314.2
854,7210.2
854,7108.9
856,7002.2
856,6922.2
858,6918.5
858,6920.2
860,6922.2
860,6790.1
862,6790.9
862,6879.6
864,6818.1
864,6819.7
866,6801.1
866,6800.0
868,6884.8
868,6886.5
870,6886.6
870,6915.0
872,6912.2
872,6892.3
874,6893.2
874,6894.8
876,6895.7
876,6894.0
878,6893.4
878,6893.8
880,6895.8
880,6894.6
882,6892.3
882,6890.6
884,6888.9
884,6886.9
886,6818.4
886,6910.2
888,6769.0
888,6830.2
890,6778.0
890,6887.0
892,6741.9
892,6743.9
894,6898.7
894,6898.4
896,6914.0
896,6915.0
898,6915.4
898,6916.3
900,6914.7
900,6914.4
902,6915.6
902,6916.6
904,6916.1
904,7054.7
906,7054.9
906,7054.0
908,7053.7
908,6923.0
910,6899.1
910,7228.5
912,7080.7
912,7122.7
914,7124.8
914,7126.2
916,7216.1
916,7187.2
918,7188.1
918,7207.1
920,7207.8
920,7207.4
922,7204.3
922,7202.4
924,7200.9
924,7201.6
926,7200.1
926,7198.5
928,7198.7
928,7198.6
930,7198.5
930,7159.5
932,7161.3
932,6995.3
934,7137.7
934,7070.4
936,7015.1
936,7031.1
938,7032.5
938,7033.0
940,7031.2
940,7029.2
942,7030.1
942,7121.6
944,7147.8
944,7053.8
946,7117.3
946,7095.0
948,7121.3
948,7121.9
950,7122.2
950,7121.6
952,7123.3
952,7124.8
954,7124.5
954,7123.4
956,7038.2
956,6999.4
958,7069.0
958,7027.3
960,7026.5
960,7114.1
962,7114.9
962,7144.4
964,7143.2
964,7145.5
966,7148.5
966,7150.7
968,7151.8
968,7153.4
970,7153.6
970,7154.6
972,7172.8
972,7025.8
974,7046.3
974,7032.4
976,7037.4
976,7129.1
978,7129.5
978,7144.3
980,7145.3
980,7145.3
982,7144.9
982,7146.5
984,7145.2
984,7007.4
986,7054.1
986,7072.8
988,7027.1
988,7006.2
990,7110.9
990,7128.0
992,7127.6
992,7108.9
994,7110.3
994,7200.1
996,7202.2
996,7201.3
998,7201.4
998,7176.2
1000,7178.7
1000,7179.7
1002,7116.4
1002,7191.8
1004,7167.8
1004,7137.8
1006,7181.8
1006,7206.3
1008,7206.0
1008,7204.9
1010,7178.2
1010,7179.7
1012,7209.3
1012,7211.1
1014,7214.2
1014,7214.5
1016,7104.8
1016,7088.8
1018,7145.0
1018,7128.9
1020,7145.4
1020,7096.8
1022,7095.8
1022,7131.9
1024,7074.9
1024,7074.4
1026,7072.2
1026,7124.8
1028,7165.7
1028,7110.5
1030,7021.9
1030,7138.3
1032,7088.6
1032,7175.0
1034,7179.0
1034,7230.8
1036,7290.2
1036,7350.0
1038,7406.3
1038,7458.6
1040,7455.0
1040,7436.5
1042,7402.0
1042,7498.7
1044,7639.4
1044,7660.6
1046,7667.6
1046,7677.7
1048,7679.0
1048,7671.5
1050,7659.0
1050,7639.3
1052,7494.0
1052,7498.9
1054,7433.8
1054,7436.6
1056,7342.3
1056,7388.3
1058,7335.9
1058,7300.8
1060,7241.3
1060,7190.1
1062,7184.3
1062,7184.8
1064,7184.0
1064,7136.9
1066,7102.3
1066,7086.8
1068,7102.3
1068,7178.4
1070,7178.1
1070,7141.6
1072,7142.1
1072,7142.6
1074,7142.9
1074,7044.1
1076,7145.8
1076,7057.2
1078,7109.3
1078,7035.0
1080,7168.7
1080,7170.2
1082,7173.8
1082,7174.4
1084,7175.3
1084,7179.8
1086,7026.6
1086,7024.8
1088,7047.1
1088,7018.2
1090,7016.2
1090,7147.2
1092,7157.4
1092,7156.4
1094,7167.2
1094,7168.4
1096,7167.7
1096,6968.7
1098,7073.3
1098,7078.9
1100,7040.2
1100,7031.8
1102,7173.0
1102,7170.3
1104,7136.8
1104,7138.7
1106,7138.5
1106,7138.2
1108,7138.8
1108,7132.0
1110,7032.2
1110,7066.7
1112,7022.4
1112,7022.0
1114,6991.8
1114,6991.3
1116,7145.0
1116,7142.9
1118,6986.7
1118,7111.7
1120,7113.0
1120,7111.0
1122,7109.9
1122,7161.6
1124,7044.8
1124,7125.3
1126,7026.6
1126,7026.8
1128,6820.1
1128,6820.7
1130,6981.3
1130,6982.4
1132,6983.8
1132,6943.3
1134,6942.7
1134,6942.0
1136,6834.3
1136,6805.2
1138,6880.3
1138,6849.4
1140,6838.5
1140,6836.5
1142,6939.0
1142,6938.3
1144,6980.6
1144,6980.0
1146,6935.1
1146,6868.7
1148,6861.8
1148,6840.9
1150,6812.6
1150,6950.9
1152,6954.3
1152,6965.2
1154,6965.6
1154,6965.8
1156,6965.8
1156,6872.8
1158,6849.0
1158,6823.0
1160,6792.8
1160,6956.3
1162,6974.3
1162,6949.2
1164,6946.9
1164,6949.8
1166,6949.1
1166,6947.1
1168,6922.1
1168,6787.9
1170,6873.9
1170,6872.8
1172,6872.3
1172,6871.3
1174,6964.8
1174,6975.7
1176,6976.1
1176,6987.0
1178,6988.6
1178,6986.4
1180,6984.2
1180,6966.5
1182,6850.2
1182,6852.3
1184,6854.9
1184,6847.4
1186,6846.8
1186,6848.2
1188,6940.1
1188,6951.6
1190,6951.8
1190,6951.7
1192,6950.5
1192,6950.1
1194,6950.3
1194,6950.9
1196,6947.7
1196,6945.3
1198,6948.8
1198,6951.1
1200,6948.3
1200,6948.2
1202,6948.3
1202,6964.5
1204,6967.4
1204,6967.5
1206,6963.9
1206,6963.9
1208,6966.8
1208,6965.9
1210,6964.1
1210,6963.5
1212,6963.0
1212,6961.1
1214,6960.7
1214,6959.2
1216,6958.3
1216,6958.7
1218,6959.7
1218,6960.1
1219,6960.1
