t_sec,mem_available_mb
0,3759.0
0,3761.6
2,3755.9
2,3754.7
4,3752.1
4,4196.0
6,4200.7
6,4198.7
8,4197.0
8,4189.6
10,4190.6
10,4191.8
12,4193.8
12,4197.0
14,4198.2
14,4203.0
16,4200.9
16,4201.2
18,4202.7
18,4202.7
20,4202.0
20,4200.3
22,4197.2
22,4191.8
24,4193.9
24,4195.3
26,4477.2
26,4474.7
28,4473.1
28,4470.2
30,4467.6
30,4466.6
32,4467.1
32,4470.0
34,4470.4
34,4470.8
36,4472.5
36,4471.9
38,4472.5
38,4474.7
40,4475.6
40,4471.6
42,4469.4
42,4469.5
44,4262.3
44,4263.8
46,4265.2
46,4265.8
48,4263.7
48,4265.8
50,4269.7
50,4270.9
52,4271.5
52,4273.7
54,4276.8
54,4276.1
56,4280.1
56,4279.5
58,4276.7
58,4698.7
60,4697.1
60,4695.0
