t_sec,mem_available_mb
1.0,5083.7
1.0,5083.1
3.0,5086.5
3.0,5089.8
5.0,5089.7
5.0,4867.6
7.0,4868.0
7.0,4868.5
9.0,4867.9
9.0,4867.9
11.0,4864.0
11.0,4861.4
13.0,4861.4
13.0,4860.0
15.0,4858.2
15.0,4856.3
17.0,4855.7
17.0,4854.9
19.0,4858.7
19.0,4859.4
21.0,4856.2
21.0,4854.3
23.0,4853.4
23.0,4850.9
25.0,4850.1
25.0,4925.8
27.0,5031.9
27.0,5137.4
29.0,5473.9
29.0,5576.1
31.0,5668.6
31.0,5763.9
33.0,5850.1
33.0,5921.0
35.0,5985.6
35.0,6044.4
37.0,6093.0
37.0,6135.7
39.0,6171.4
39.0,6190.6
41.0,6197.7
41.0,6198.6
43.0,6191.9
43.0,6168.5
45.0,6137.1
45.0,6092.7
47.0,6037.5
47.0,5199.0
49.0,5128.5
49.0,5051.3
51.0,4965.7
51.0,4879.2
53.0,4780.9
53.0,4680.6
55.0,4577.2
55.0,4471.7
57.0,4364.5
57.0,4312.9
59.0,4313.0
59.0,4309.4
61.0,4311.4
61.0,4661.3
63.0,4664.8
63.0,4667.9
65.0,4669.2
65.0,4668.1
67.0,4669.0
67.0,4669.6
69.0,4669.0
69.0,4667.6
71.0,4665.4
71.0,4662.7
73.0,4661.9
73.0,4660.3
75.0,4656.1
75.0,4653.5
77.0,4654.9
77.0,4656.5
79.0,4657.4
79.0,4652.9
81.0,4655.9
81.0,4658.0
83.0,4661.2
83.0,4666.2
85.0,4667.9
85.0,4666.5
87.0,4664.2
87.0,4667.0
89.0,4041.8
89.0,4044.2
91.0,4042.2
91.0,4036.3
93.0,4033.6
93.0,4036.6
95.0,4037.4
95.0,4036.7
97.0,4037.8
97.0,4036.8
99.0,4038.4
99.0,4322.9
101.0,4323.1
101.0,4318.2
103.0,4317.5
103.0,4317.0
105.0,4318.7
105.0,4315.6
107.0,4313.5
107.0,4313.3
109.0,4315.5
109.0,4321.5
111.0,4321.8
111.0,4804.3
113.0,4800.9
113.0,4805.5
115.0,4809.4
115.0,3991.2
117.0,3992.8
117.0,3990.7
119.0,3990.7
119.0,3989.8
121.0,3991.8
121.0,3990.5
123.0,4376.3
123.0,4377.6
125.0,4377.5
125.0,4377.4
127.0,4380.1
127.0,4382.3
129.0,4379.4
129.0,4379.0
131.0,4383.1
131.0,4385.2
133.0,4384.2
133.0,4742.0
135.0,4740.2
135.0,4738.7
137.0,4741.9
137.0,4741.6
139.0,4738.5
139.0,4735.2
141.0,4732.2
141.0,4735.1
143.0,4736.0
143.0,4737.1
145.0,4733.0
145.0,4732.1
147.0,4734.2
147.0,4731.0
149.0,4731.8
149.0,4728.6
151.0,4726.2
151.0,4728.2
153.0,4732.2
153.0,4734.8
155.0,4735.1
155.0,4738.1
157.0,4740.0
157.0,4741.6
159.0,4743.8
159.0,4740.6
161.0,4740.1
161.0,4743.3
163.0,4743.1
163.0,4743.7
165.0,4742.5
165.0,4740.8
167.0,4742.1
167.0,4746.4
169.0,4746.2
169.0,4742.3
171.0,4742.1
171.0,4740.0
173.0,4740.9
173.0,4740.1
175.0,4739.1
175.0,4739.4
177.0,4743.9
177.0,4744.7
179.0,4745.0
179.0,4746.2
