t_sec,mem_available_mb
0,12198.9
1,11648.1
2,11647.0
4,11647.7
4,11895.7
6,11896.8
6,11900.5
8,11904.4
8,11910.1
9,11907.5
10,11730.1
11,11727.9
12,11729.1
13,11730.7
14,11727.3
15,11721.8
16,11719.2
17,11717.6
18,11796.4
19,11795.7
20,11794.7
21,11790.4
22,11789.1
23,11790.9
24,11788.7
25,11792.5
26,11799.3
27,11801.9
28,11801.2
29,11800.4
30,11803.0
31,11803.8
32,11805.6
34,11803.7
34,11798.2
36,11797.2
36,11798.2
38,11798.9
38,11795.4
40,11791.8
40,11790.5
42,11790.0
42,11791.1
44,11793.2
44,11793.6
46,11799.2
46,11805.1
48,11808.8
48,11811.8
50,11812.7
50,11812.0
52,11807.3
52,11807.1
54,11803.7
54,11803.1
56,11803.1
56,11803.1
58,11803.6
58,11804.2
60,11804.0
60,11804.5
62,11804.9
62,11801.6
64,11803.5
64,11799.1
66,11798.8
66,11799.8
68,11803.8
68,11803.9
70,11803.6
70,11804.2
72,11801.0
72,11802.7
74,11802.3
74,11797.5
76,11798.7
76,11795.0
78,11794.3
78,11795.4
80,11799.3
80,11796.6
82,11794.1
82,11795.9
84,11795.9
84,11799.7
86,11800.6
86,11800.9
88,11796.3
88,11800.2
90,11803.6
90,11803.1
92,11802.1
92,11800.8
94,11797.6
94,11795.7
96,11799.4
96,11797.2
98,11796.0
98,11795.7
100,11795.6
100,11797.7
102,11806.0
102,11808.5
104,11805.5
104,11806.3
106,11806.7
106,11808.9
108,11811.0
108,11809.9
110,11804.5
110,11805.7
112,11811.8
112,11809.6
114,11807.1
114,11805.0
116,11802.9
116,11800.2
118,11798.9
118,11794.0
120,11792.8
120,11794.9
122,11793.5
122,11793.8
124,11794.0
124,11797.1
126,11794.8
126,11797.8
128,11795.6
128,11798.2
130,11801.6
130,11802.6
132,11803.0
132,11801.3
134,11805.4
134,11805.2
136,10928.2
136,10928.9
138,10929.4
138,10930.6
140,10930.5
140,10934.1
142,10936.9
142,10939.0
144,10937.3
144,10936.0
146,10934.1
146,10931.5
148,10928.4
148,10925.8
150,10921.8
150,10919.7
152,10918.0
152,10924.5
154,11022.1
154,11134.2
156,11244.1
156,11351.7
158,11454.4
158,11554.1
160,11652.5
160,11749.6
162,11832.6
162,11918.9
164,11994.6
164,12059.6
166,12122.2
166,12177.8
168,12221.3
168,12251.8
170,12278.8
170,12292.6
172,12302.6
172,12302.2
174,12293.5
174,12273.2
176,12244.5
176,12212.7
178,12165.7
178,12108.7
180,12041.9
180,11970.5
182,11890.3
182,11802.0
184,11708.0
184,11911.0
186,11814.7
186,11716.7
188,11613.2
188,11504.7
190,11395.6
190,11285.4
192,11229.4
192,11233.1
194,11233.2
194,11230.6
196,11229.6
196,11228.7
198,11228.5
198,11328.9
200,11324.8
200,11327.0
202,11323.8
202,11318.5
204,11319.7
204,11322.2
206,11319.0
206,11314.7
208,11316.7
208,11313.0
210,11316.3
210,11321.1
212,11317.8
212,11316.6
214,11319.1
214,11319.8
216,11319.0
216,11318.3
218,11316.1
218,11314.1
220,11318.2
220,11321.4
222,11321.3
222,11322.1
224,11322.2
224,11322.8
226,11322.9
226,11325.5
228,11325.3
228,11324.0
230,11322.5
230,11323.4
232,11322.8
232,11327.3
234,11332.6
234,11330.2
236,11327.5
236,11325.5
238,11328.0
238,11324.8
240,11326.2
240,11320.9
242,11315.4
242,11316.1
244,11319.5
244,11324.4
246,11325.3
246,11330.7
248,11330.4
248,11333.2
250,11335.9
250,11332.3
252,11327.6
252,11322.6
254,11317.1
254,11313.0
256,11314.4
256,11315.5
258,11317.9
258,11323.0
260,11326.2
260,11330.8
262,11334.8
262,11335.6
264,11333.2
264,11330.7
266,11327.3
266,11323.6
268,11322.8
268,11318.9
270,11318.1
270,11322.0
272,11326.5
272,11330.3
274,11330.8
274,11336.0
276,11337.8
276,11339.6
278,11340.1
278,11335.4
280,11333.3
280,11329.8
282,11328.4
282,11718.8
284,11500.5
284,11480.7
286,11481.0
286,11479.4
288,11476.3
288,11475.7
290,11473.3
290,11473.9
292,11472.3
292,11471.7
294,11469.7
294,11472.7
296,11476.5
296,11478.9
298,11486.1
298,11489.5
300,11489.7
300,11492.0
302,11496.6
302,11141.2
304,11140.5
304,11137.6
306,11130.7
306,11125.2
308,11127.1
308,11125.0
310,11121.8
310,11121.8
312,11544.2
312,11544.7
314,11546.1
314,11550.7
316,11551.1
316,11549.8
318,11550.1
318,11551.4
320,11551.6
320,11551.7
322,11555.1
322,11554.4
324,11552.0
324,11555.5
326,11555.1
326,11553.6
328,11552.5
328,11552.8
330,11548.7
330,11544.9
332,11547.5
332,11547.0
334,11547.0
334,11017.4
336,11022.6
336,11024.7
338,11029.2
338,11035.2
340,11032.1
340,11030.8
342,11030.6
342,11031.4
344,11030.0
344,11025.9
346,11025.1
346,11021.5
348,11018.4
348,11016.4
350,11017.8
350,11016.0
352,11015.7
352,11017.9
354,11015.5
354,11015.6
356,11019.0
356,11022.2
358,11020.5
358,11022.1
360,11023.0
360,11025.5
362,11024.5
362,11026.8
364,11026.6
364,11024.1
366,11023.0
366,11019.4
368,11015.2
368,11249.7
370,11250.3
370,10851.8
372,10852.3
372,10869.2
374,10994.1
374,11139.3
376,11280.2
376,11416.5
378,11548.0
378,11668.6
380,11782.9
380,11887.8
382,11981.0
382,12062.1
384,12130.1
384,12183.4
386,12222.7
386,12245.1
388,12249.3
388,12236.1
390,12213.2
390,12176.3
392,12126.2
392,12240.7
394,12157.7
394,11811.3
396,11845.9
396,11733.4
398,11605.3
398,11471.9
400,11332.6
400,11186.9
402,11038.7
402,10674.7
404,10663.4
404,10659.8
406,10660.2
406,10658.5
408,10657.2
408,10659.2
410,10664.7
410,10930.0
412,10665.0
412,10670.8
414,10672.2
414,10670.3
416,10673.1
416,10673.1
418,10671.9
418,10670.7
420,10669.1
420,10666.1
422,10669.8
422,10676.2
424,10676.3
424,10679.1
426,10679.8
426,10679.4
428,10682.5
428,10681.6
430,10683.4
430,10682.6
432,10679.3
432,10677.5
434,10676.2
434,10673.9
436,10671.7
436,10671.8
438,10667.9
438,10665.2
440,10666.0
440,10919.0
442,10920.0
442,10922.6
444,10922.6
444,10925.4
446,10925.3
446,10924.6
448,10927.2
448,10925.3
450,10922.7
450,10920.2
452,10919.3
452,10920.3
454,10922.5
454,10922.8
456,10922.6
