t_sec,mem_available_mb
0,6880.4
1,6882.1
2,6884.0
4,7043.9
4,7044.7
6,7045.5
6,7050.1
8,7051.5
8,7054.8
9,7052.7
10,7048.2
11,6486.8
12,6740.6
13,6734.8
14,6729.1
15,6726.0
16,6723.3
17,6727.7
18,6730.8
19,6729.3
20,6727.8
21,6731.7
22,6733.6
23,6736.8
24,6739.5
25,6733.1
26,6730.8
27,6729.5
28,6725.6
29,6317.8
30,6318.5
31,6238.9
32,6237.6
34,6238.2
34,6240.0
36,6238.0
36,6241.0
38,6237.7
38,6239.3
40,6276.3
40,6276.1
42,6280.0
42,6278.6
44,6279.6
44,6281.9
46,6286.9
46,6286.0
48,6283.9
48,6283.1
50,6284.3
50,6284.9
52,6440.6
52,6436.4
54,6432.3
54,6431.8
56,6433.2
56,6434.7
58,6431.3
58,6431.6
60,6432.6
60,6435.0
62,6437.1
62,6437.1
64,6432.9
64,6218.1
66,6215.9
66,6216.6
68,6448.6
68,6449.4
70,6449.7
70,6448.1
72,6447.7
72,6447.1
74,6451.9
74,6451.6
76,6450.5
76,6451.7
78,6452.4
78,6454.2
80,6455.2
80,6454.5
82,6449.9
82,6449.6
84,6445.8
84,6440.7
86,6440.3
86,6439.8
88,6440.9
88,6441.5
90,6442.1
90,6443.2
92,6446.1
92,6453.4
94,6452.3
94,6455.3
96,6456.8
96,6455.7
98,6168.2
98,6166.5
100,6163.3
100,6156.5
102,6159.0
102,6156.5
104,6156.7
104,6155.2
106,6156.4
106,6157.4
108,6160.8
108,6164.5
110,6160.7
110,6157.6
112,6415.6
112,6419.8
114,6419.7
114,6415.0
116,6412.0
116,5758.8
118,5762.1
118,5770.0
120,5769.7
120,5710.3
122,5710.7
122,5563.3
124,5566.6
124,5566.9
126,5566.9
126,5563.3
128,5557.9
128,5553.8
130,5548.5
130,5544.7
132,5546.2
132,5546.3
134,5545.0
134,5545.8
136,5549.6
136,5660.8
138,5831.3
138,5807.1
140,5955.4
140,6089.4
142,6207.5
142,6309.6
144,6531.4
144,6586.8
146,6618.5
146,6623.4
148,6603.0
148,6564.2
150,6502.9
150,6408.6
152,6296.6
152,6165.7
154,6020.4
154,5862.2
156,5699.0
156,5540.0
158,5506.2
158,5505.6
160,5508.8
160,5509.2
162,5504.3
162,5504.3
164,5504.9
164,5510.1
166,5508.6
166,5496.0
168,5497.9
168,5498.6
170,5472.9
170,5472.4
172,5471.1
172,5466.4
174,5469.1
174,5896.5
176,5889.2
176,5887.2
178,5889.0
178,5892.5
180,5894.5
180,5897.5
182,5897.7
182,5899.2
184,6100.7
184,6102.6
186,6105.1
186,6103.1
188,6097.7
188,6096.5
190,6096.2
190,6095.5
192,6096.4
192,6409.1
194,6409.0
194,6406.2
196,6405.6
196,6405.3
198,6403.5
198,6403.6
200,6405.6
200,6405.2
202,6404.7
202,6405.1
204,6409.3
204,6410.7
206,6410.2
206,6411.0
208,6408.9
208,6406.1
210,6405.2
210,6405.1
212,6403.5
212,6403.8
214,6405.1
214,6404.8
216,6404.0
216,6407.9
218,6410.3
218,6413.2
220,6419.2
220,6420.0
222,6421.4
222,6422.8
224,6425.0
224,6421.0
226,6416.4
226,6417.4
228,6413.9
228,6414.3
230,6417.3
230,6416.4
232,6413.0
232,6414.4
234,6417.3
234,6413.4
236,6409.7
236,6407.1
238,6399.4
238,6394.4
240,6393.0
240,6391.0
242,6389.6
242,6393.4
244,6392.5
244,6391.5
246,6396.6
246,6400.1
248,6402.4
248,6401.7
250,6401.2
250,6401.1
252,6406.6
252,6410.1
254,6409.5
254,6408.5
256,6407.6
256,6409.8
258,6409.2
258,6404.9
260,6400.9
260,6398.0
262,6398.0
262,6399.7
264,6397.6
264,6399.8
266,6404.3
266,6409.9
268,6412.2
268,6412.6
270,6410.9
270,6407.8
272,6408.9
272,6404.9
274,6401.5
274,6397.4
276,6398.0
276,6400.1
278,6407.1
278,6412.2
280,6413.1
280,6413.7
282,6414.2
282,6416.8
284,6415.9
284,6412.9
286,6405.2
286,6400.7
288,6398.1
288,6398.9
290,6398.8
290,6394.8
292,6704.0
292,6705.9
294,6707.8
294,6707.0
296,6709.0
296,6710.0
298,6711.8
298,6713.4
300,6715.2
300,6717.8
302,6719.9
302,6723.8
304,6724.2
304,6723.2
306,6717.5
306,6714.2
308,6712.3
308,6711.8
310,6711.8
310,6709.7
312,6712.2
312,6713.2
314,6715.8
314,6717.9
316,6717.0
316,6712.7
318,6711.4
318,6714.5
320,6712.6
320,6712.4
322,6712.7
322,6712.1
324,6712.9
324,6714.5
326,6716.4
326,6714.5
328,6714.4
328,6715.8
330,6716.8
