t_sec,mem_available_mb
0,4380.1
0,4382.3
2,4379.4
2,4379.0
4,4383.1
4,4385.2
6,4384.2
6,4742.0
8,4740.2
8,4738.7
10,4741.9
10,4741.6
12,4738.5
12,4735.2
14,4732.2
14,4735.1
16,4736.0
16,4737.1
18,4733.0
18,4732.1
20,4734.2
20,4731.0
22,4731.8
22,4728.6
24,4726.2
24,4728.2
26,4732.2
26,4734.8
28,4735.1
28,4738.1
30,4740.0
30,4741.6
32,4743.8
32,4740.6
34,4740.1
34,4743.3
36,4743.1
36,4743.7
38,4742.5
38,4740.8
40,4742.1
40,4746.4
42,4746.2
42,4742.3
44,4742.1
44,4740.0
46,4740.9
46,4740.1
48,4739.1
48,4739.4
50,4743.9
50,4744.7
52,4745.0
52,4746.2
54,4742.5
54,3757.4
56,3759.0
56,3761.6
58,3755.9
58,3754.7
60,3752.1
60,4196.0
62,4200.7
62,4198.7
64,4197.0
64,4189.6
66,4190.6
66,4191.8
68,4193.8
68,4197.0
70,4198.2
70,4203.0
72,4200.9
72,4201.2
74,4202.7
74,4202.7
76,4202.0
76,4200.3
78,4197.2
78,4191.8
80,4193.9
80,4195.3
82,4477.2
82,4474.7
84,4473.1
84,4470.2
86,4467.6
86,4466.6
88,4467.1
88,4470.0
90,4470.4
90,4470.8
92,4472.5
92,4471.9
94,4472.5
94,4474.7
96,4475.6
96,4471.6
98,4469.4
98,4469.5
100,4262.3
100,4263.8
102,4265.2
102,4265.8
104,4263.7
104,4265.8
106,4269.7
106,4270.9
108,4271.5
108,4273.7
110,4276.8
110,4276.1
112,4280.1
112,4279.5
114,4276.7
114,4698.7
116,4697.1
116,4695.0
118,4695.9
118,4693.7
120,4690.3
120,4688.0
122,4691.0
122,4696.7
124,4790.6
124,4793.0
126,4790.2
126,4793.1
128,4793.5
128,4795.5
130,4792.8
130,4791.1
132,4790.4
132,4789.1
134,4789.2
134,4791.6
136,4795.0
136,4795.8
138,4795.6
138,4795.7
140,4796.5
140,4795.0
142,4793.0
142,4789.5
144,4782.0
144,4783.4
146,4787.2
146,4787.4
148,4786.2
148,4786.7
150,4787.9
150,4787.3
152,4792.0
152,5132.3
154,5126.4
154,5128.7
156,5130.7
156,4994.9
158,4995.4
158,4996.6
160,4995.0
160,4994.8
162,4996.4
162,4994.8
164,4995.1
164,4993.1
166,4994.0
166,4994.7
168,4996.7
168,4998.3
170,4999.6
170,5113.9
172,5116.7
172,5115.2
174,5115.8
174,5114.9
176,5543.6
176,5542.8
178,5544.5
178,5543.2
180,5542.0
180,5542.9
182,5538.5
182,5537.3
184,5534.2
184,5533.3
186,5533.6
186,5535.0
188,5532.4
188,5529.5
190,5530.5
190,5532.1
192,5534.2
192,5534.3
194,5528.8
194,5525.2
196,5528.9
196,5531.9
198,5531.0
198,5527.3
200,5529.6
200,5530.3
202,5532.6
202,5537.1
204,5535.4
204,5535.1
206,5540.9
206,5541.3
208,5539.5
208,5540.1
210,5538.8
210,5538.6
212,5539.4
212,5537.8
214,5533.3
214,5531.4
216,5529.3
216,5526.9
218,5078.6
218,5078.1
220,5123.7
220,4968.7
222,4968.1
222,4968.3
224,4966.8
224,4968.0
226,4968.9
226,4969.1
228,4965.9
228,4964.7
230,4966.9
230,4973.9
232,4977.3
232,4973.9
234,5222.0
234,4794.9
236,4795.8
236,4799.4
238,4799.1
238,4796.6
240,4795.3
240,4796.6
242,4800.6
242,4800.1
244,4801.2
244,4798.5
246,4799.2
246,4798.6
248,4800.0
248,4800.1
250,4796.1
250,4792.7
252,4792.9
252,4793.1
254,4789.5
254,4791.8
256,4795.3
256,4796.6
258,4798.2
258,4798.3
260,4798.4
260,4799.5
262,4799.8
262,4796.6
264,4797.0
264,4798.6
266,4797.7
266,4798.8
268,4797.5
268,4797.0
270,4800.3
270,4800.9
272,4797.1
272,4795.3
274,4794.8
274,4798.4
276,4800.4
276,4803.2
278,4799.2
278,4801.7
280,4802.5
280,4798.6
282,4798.9
282,4795.1
284,4792.1
284,4788.7
286,4790.0
286,4786.9
288,4786.3
288,4790.6
290,4790.0
290,4793.0
292,4800.4
292,4803.6
294,4807.8
294,4810.8
296,4808.0
296,4810.4
298,4814.4
298,4812.6
300,4807.5
300,4805.8
