t_sec,mem_available_mb
0,5190.7
1,5190.1
2,5189.8
4,5092.2
4,5093.0
6,5041.7
6,5041.6
8,5041.6
8,5035.5
9,5034.9
10,5033.0
11,5034.0
12,5034.2
13,5032.0
14,5029.9
15,5031.2
16,5105.2
17,4927.8
18,4929.1
19,4959.8
20,4963.9
21,4969.5
22,4974.2
23,4974.7
24,4970.3
25,4964.4
26,4962.9
27,4963.4
28,4960.1
29,4954.4
30,4952.9
31,4954.2
32,4954.9
34,4959.0
34,4962.1
36,4960.2
36,4963.9
38,4966.0
38,4965.8
40,4965.4
40,4963.7
42,4960.6
42,4959.5
44,4964.6
44,4962.3
46,4962.9
46,4961.6
48,4960.3
48,4960.6
50,4963.2
50,4966.1
52,4962.8
52,4960.2
54,4958.8
54,4958.7
56,4957.0
56,4957.5
58,4951.8
58,4947.9
60,4946.7
60,4947.5
62,4951.4
62,4952.2
64,4951.1
64,4951.9
66,4958.3
66,4960.6
68,4957.9
68,4958.4
70,4955.7
70,4957.2
72,4959.0
72,4962.1
74,4962.8
74,4964.1
76,4964.5
76,4961.3
78,4959.2
78,4956.2
80,4956.5
80,4953.9
82,4948.2
82,4943.4
84,4944.6
84,4947.4
86,4947.4
86,4950.0
88,4949.1
88,4946.3
90,4947.3
90,4945.3
92,4944.4
92,4943.7
94,4944.6
94,4945.7
96,4948.3
96,4951.7
98,4954.2
98,4958.7
100,4960.9
100,4961.7
102,4962.5
102,4958.4
104,4954.8
104,4952.5
106,4953.2
106,4951.6
108,4951.9
108,4952.2
110,4952.3
110,4953.7
112,4957.5
112,4957.3
114,4955.9
114,4961.0
116,4960.7
116,4963.2
118,4961.0
118,4961.0
120,4957.0
120,4956.5
122,4956.8
122,4948.6
124,4947.5
124,4947.3
126,4948.0
126,4950.8
128,4954.2
128,4956.5
130,4956.6
130,4961.4
132,4961.2
132,4963.6
134,4968.0
134,4967.2
136,4965.1
136,4965.6
138,4968.1
138,4969.7
140,4973.7
140,4971.2
142,4968.5
142,4967.1
144,4966.0
144,4965.5
146,4964.5
146,4961.0
148,4959.9
148,4957.8
150,4954.3
150,4951.7
152,4951.9
152,4953.4
154,4950.6
154,4947.6
156,4944.6
156,4944.8
158,4946.2
158,4947.9
160,4946.5
160,4942.9
162,4944.2
162,4947.3
164,4949.0
164,4947.4
166,4945.8
166,4946.8
168,4950.7
168,4955.1
170,4956.0
170,4958.5
172,4957.8
172,4960.3
174,4964.4
174,4964.4
176,4964.1
176,4961.2
178,4963.5
178,4964.6
180,4965.8
180,4966.4
182,4963.1
182,4964.1
184,4965.3
184,4965.5
186,4959.6
186,4956.0
188,4955.8
188,4953.6
190,4953.3
190,4950.6
192,4949.6
192,4948.6
194,4950.6
194,4951.5
196,4949.5
196,4948.2
198,4952.7
198,4955.4
200,5039.8
200,5042.3
202,5043.3
202,5046.1
204,5049.6
204,5051.5
206,5052.4
206,5053.0
208,5052.7
208,5052.4
210,5053.6
210,5051.3
212,5048.1
212,5043.9
214,5040.6
214,5038.3
216,5038.8
216,5037.9
218,5035.8
218,5033.8
220,4804.1
220,4808.5
222,4830.2
222,4831.8
224,4832.8
224,4832.0
226,4832.4
226,4833.4
228,4836.1
228,4837.8
230,4835.6
230,4831.5
232,4828.6
232,4828.7
234,4829.2
234,4831.7
236,4830.2
236,4828.2
238,4831.0
238,4831.9
240,4829.0
240,4828.5
242,4826.7
242,4820.9
244,4821.8
244,4825.2
246,4819.9
246,4825.1
248,4830.2
248,4818.5
250,4816.7
250,4821.8
252,4824.0
252,4820.4
254,4819.9
254,4819.7
256,4819.8
256,4825.0
258,4828.3
258,4826.9
260,4824.8
260,4824.1
262,4827.9
262,4827.5
264,4823.9
264,4821.1
266,4823.1
266,4825.3
268,4826.5
268,4828.4
270,4823.6
270,4824.6
272,4829.1
272,4834.6
274,5031.7
274,5217.0
276,5394.6
276,5423.1
278,5555.9
278,5645.0
280,5703.2
280,5705.0
282,5688.8
282,5635.4
284,5545.0
284,5523.4
286,5370.7
286,5197.8
288,4855.2
288,4689.5
290,4673.4
290,4676.0
292,4673.1
292,4675.4
294,4677.2
294,4676.3
296,4675.5
296,4671.2
298,4664.4
298,4664.5
300,4666.3
300,4668.1
302,4664.9
302,4666.9
304,4727.1
304,4609.7
306,4683.4
306,4564.2
308,4563.4
308,4562.1
310,4563.9
310,4559.7
312,4558.6
312,4562.0
314,4566.8
314,4568.6
316,4568.4
316,4565.6
318,4568.0
318,4569.8
320,4570.3
320,4571.4
322,4570.9
322,4567.8
324,4568.7
324,4569.9
326,4568.9
326,4570.8
328,4572.3
328,4572.6
330,4573.1
330,4576.4
332,4577.9
332,4580.4
334,4581.3
334,4580.6
336,4575.9
336,4572.1
338,4572.5
338,4571.5
340,4569.9
340,4569.0
342,4567.8
342,4567.8
344,4425.3
344,4426.7
346,4466.4
346,4468.5
348,4445.9
348,4444.8
350,4418.3
350,4525.6
352,4525.2
352,4450.0
354,4448.6
354,4447.7
356,4588.4
356,4588.8
358,4481.6
358,4613.5
360,4578.8
360,4575.7
362,4575.7
362,4660.5
364,4533.7
364,4644.6
366,4485.1
366,4507.3
368,4512.5
368,4512.1
370,4511.4
370,4508.2
372,4502.6
372,4499.5
374,4497.3
374,4502.1
376,4498.0
376,4499.2
378,4507.4
378,4643.0
380,4647.3
380,4654.4
382,4654.8
382,4654.6
384,4660.4
384,4662.6
386,4656.5
386,4654.1
388,4653.8
388,4650.3
390,4653.0
390,4648.6
392,4642.9
392,4639.1
394,4639.5
394,4636.0
396,4637.0
396,4638.0
398,4636.1
398,4636.5
400,4635.6
400,4636.5
402,4636.3
402,4637.7
404,4636.4
404,4633.3
406,4637.4
406,4642.4
408,4644.1
408,4645.6
410,4644.0
410,4643.9
412,4644.7
412,4650.7
414,4647.8
414,4643.3
416,4647.1
416,4647.9
418,4648.0
418,4646.8
420,4642.5
420,4638.6
422,4638.1
422,4636.6
424,4635.3
424,4632.4
426,4633.3
426,4636.6
428,4640.3
428,4726.2
430,4725.4
430,4727.1
432,4725.6
432,4727.8
434,4728.9
434,4726.1
436,4725.2
436,4724.2
438,4725.3
438,4723.4
440,4726.0
440,4730.1
442,4730.8
442,4733.9
444,4739.9
444,4739.0
446,4740.0
446,4745.4
448,4742.4
448,4737.1
450,4735.7
450,4735.1
452,4732.4
452,4735.4
454,4736.4
454,4731.8
456,4731.8
456,4677.6
458,4677.6
458,4677.9
460,4643.8
460,4669.9
462,4668.7
462,4681.0
464,4678.6
464,4678.9
466,4681.3
466,4682.1
468,4684.2
468,4685.7
470,4685.3
470,4682.1
472,4682.7
472,4688.1
474,4685.5
474,4684.8
476,4682.4
476,4683.1
478,4684.0
478,4686.1
480,4688.6
480,4685.2
482,4684.6
482,4682.7
484,4683.4
484,4683.9
486,4680.7
486,4773.4
488,4775.1
488,4775.3
490,4776.3
490,4775.3
492,4776.4
492,4775.0
494,4774.1
494,4775.5
496,4774.4
496,4775.6
498,4777.4
498,4779.2
500,4705.6
500,4705.8
502,4628.2
502,4629.7
504,4631.5
504,4626.0
506,4622.4
506,4621.5
508,4624.5
508,4622.8
510,4624.9
510,4624.9
512,4622.9
512,4630.1
514,4634.9
514,4630.8
516,4629.2
516,4628.7
518,4631.4
518,4631.3
520,4631.0
520,4627.2
522,4623.7
522,4627.6
524,4628.6
524,4629.4
526,4629.2
526,4630.4
528,4629.1
528,4626.9
530,4629.3
530,4628.3
532,4625.6
532,4623.5
534,4619.4
534,4618.6
536,4351.1
536,4514.8
538,4300.7
538,4320.9
540,4324.8
540,4325.9
542,4326.6
542,4325.2
544,4328.6
544,4328.4
546,4327.3
546,4330.1
548,4327.8
548,4328.3
550,4330.9
550,4334.1
552,4334.5
552,4335.4
554,4337.1
554,4335.9
556,4337.9
556,4571.4
558,4566.2
558,4592.5
560,4592.1
560,4754.0
562,4764.8
562,4841.3
564,4927.5
564,5010.0
566,5096.7
566,5182.6
568,5259.1
568,5327.0
570,5390.0
570,5445.9
572,5498.5
572,5548.9
574,5588.2
574,5616.5
576,5640.0
576,5650.4
578,5420.9
578,5627.6
580,5450.7
580,5306.1
582,5362.5
582,5322.8
584,5268.9
584,5213.2
586,5351.3
586,5284.1
588,5141.3
588,5063.9
590,4980.7
590,4891.5
592,4804.0
592,4765.5
594,4518.6
594,4557.7
596,4421.0
596,4526.5
598,4520.7
598,4518.4
600,4733.9
600,4736.9
602,4702.8
602,4705.1
604,4707.1
604,4708.0
606,4714.4
606,4720.1
608,4724.6
608,4725.9
610,4723.3
610,4723.9
612,4724.0
612,4725.8
614,4720.9
614,4570.5
616,4487.9
616,4556.8
618,4519.0
618,4520.1
620,4556.8
620,4553.5
622,4537.2
622,4537.0
624,4602.7
624,4634.5
626,4640.4
626,4594.7
628,4590.1
628,4590.6
630,4588.1
630,4588.7
632,4590.1
632,4593.0
634,4592.3
634,4503.3
636,4504.2
636,4462.7
638,4468.4
638,4414.1
640,4483.1
640,4497.8
642,4555.0
642,4551.7
644,4656.3
644,4656.9
646,4643.8
646,4642.5
648,4640.8
648,4639.5
650,4640.7
650,4638.3
652,4637.5
652,4640.4
654,4476.1
654,4457.8
656,4456.9
656,4439.4
658,4435.9
658,4465.7
660,4664.3
660,4663.0
662,4628.3
662,4630.0
664,4632.0
664,4629.6
666,4632.4
666,4461.0
668,4398.7
668,4363.5
670,4318.1
670,4434.7
672,4430.6
672,4315.6
674,4316.0
674,4291.2
676,4416.6
676,4120.5
678,4341.5
678,4208.2
680,4211.4
680,4213.6
682,4211.7
682,4289.4
684,4290.2
684,4272.5
686,4272.8
686,4365.9
688,4366.0
688,4397.8
690,4397.7
690,4356.4
692,4354.5
692,4348.9
694,4351.4
694,4353.4
696,4356.5
696,4356.4
698,4197.3
698,4248.2
700,4331.9
700,4298.9
702,4221.9
702,4438.6
704,4434.3
704,4406.5
706,4405.3
706,4402.3
708,4052.3
708,4091.7
710,4150.5
710,4203.8
712,4042.1
712,4041.1
714,4263.2
714,4356.8
716,4358.0
716,4311.7
718,4312.5
718,4313.5
720,4317.6
720,4316.3
722,4321.0
722,3758.3
724,3757.0
724,3799.9
726,3799.9
726,3801.5
728,3798.8
728,3801.7
730,3797.0
730,3993.5
732,3878.7
732,3932.6
734,3923.5
734,3892.0
736,3889.9
736,3889.0
738,3892.8
738,3890.6
740,3890.2
740,3887.9
742,3885.8
742,3885.2
744,3885.7
744,3881.5
746,3880.8
746,3887.9
748,3887.6
748,3890.7
750,3891.5
750,3890.2
752,3891.0
752,3895.7
754,3892.4
754,3884.6
756,3888.0
756,3885.9
758,3885.8
758,3884.4
760,3883.1
760,3879.7
762,3881.8
762,3888.0
764,3888.2
764,3890.1
766,3890.1
766,3896.0
768,3897.0
768,3899.5
770,3899.8
770,3900.6
772,3899.0
772,3899.5
774,3895.9
774,4045.7
776,4044.8
776,4083.6
778,4084.5
778,4079.0
780,4079.1
780,4078.7
782,4080.1
782,4130.9
784,3886.9
784,4048.2
786,3912.2
786,3841.8
788,3842.7
788,3842.8
790,3847.1
790,4112.1
792,4115.2
792,4126.3
794,4123.5
794,4123.0
796,4121.0
796,4119.5
798,4120.4
798,4120.0
800,4119.8
800,4127.0
802,4211.1
802,4211.4
804,4208.8
804,4211.2
806,4206.5
806,4285.9
808,4287.0
808,4283.9
810,4176.0
810,4047.8
812,4120.7
812,4044.9
814,4101.4
814,4091.7
816,4261.7
816,4262.1
818,4189.6
818,4190.8
820,4188.4
820,4190.2
822,4191.9
822,4195.5
824,4195.8
824,4194.4
826,4195.9
826,4196.1
828,4193.8
828,4195.6
830,3946.7
830,4092.7
832,3969.0
832,4194.9
834,4080.8
834,4078.3
836,4259.0
836,4256.0
838,4197.1
838,4238.6
840,4431.9
840,4630.6
842,4819.3
842,4988.2
844,5128.6
844,5245.2
846,5403.0
846,5258.0
848,5210.0
848,5218.2
850,5197.0
850,5287.8
852,5162.9
852,5010.9
854,4812.8
854,4619.9
856,4416.5
856,4264.1
858,4257.0
858,4260.4
860,4264.1
860,4012.5
862,4014.0
862,4183.0
864,4065.9
864,4068.8
866,4033.5
866,4031.4
868,4192.9
868,4196.2
870,4196.4
870,4250.4
872,4245.0
872,4207.2
874,4208.8
874,4212.0
876,4213.7
876,4210.5
878,4209.2
878,4210.1
880,4213.8
880,4211.5
882,4207.2
882,4204.0
884,4200.6
884,4196.9
886,4066.4
886,4241.3
888,3972.2
888,4088.9
890,3989.4
890,4197.1
892,3920.7
892,3924.4
894,4219.4
894,4218.8
896,4248.5
896,4250.5
898,4251.2
898,4252.9
900,4249.8
900,4249.3
902,4251.6
902,4253.5
904,4252.5
904,4516.5
906,4517.0
906,4515.3
908,4514.7
908,4265.7
910,4220.1
910,4847.6
912,4566.0
912,4646.1
914,4650.1
914,4652.8
916,4824.1
916,4769.0
918,4770.6
918,4806.9
920,4808.2
920,4807.4
922,4801.5
922,4798.0
924,4795.1
924,4796.5
926,4793.5
926,4790.5
928,4790.8
928,4790.7
930,4790.6
930,4716.2
932,4719.6
932,4403.4
934,4674.7
934,4546.5
936,4441.2
936,4471.6
938,4474.3
938,4475.2
940,4471.7
940,4467.9
942,4469.6
942,4644.1
944,4693.9
944,4514.9
946,4635.9
946,4593.3
948,4643.5
948,4644.6
950,4645.2
950,4644.1
952,4647.2
952,4650.1
954,4649.6
954,4647.5
956,4485.1
956,4411.3
958,4543.8
958,4464.3
960,4462.8
960,4629.8
962,4631.2
962,4687.4
964,4685.2
964,4689.5
966,4695.3
966,4699.4
968,4701.5
968,4704.5
970,4705.0
970,4706.9
972,4741.6
972,4461.5
974,4500.5
974,4474.0
976,4483.6
976,4658.2
978,4659.1
978,4687.2
980,4689.2
980,4689.1
982,4688.3
982,4691.5
984,4689.0
984,4426.4
986,4515.5
986,4551.0
988,4463.9
988,4424.2
990,4623.6
990,4656.2
992,4655.4
992,4619.9
994,4622.4
994,4793.6
996,4797.6
996,4795.8
998,4796.0
998,4748.0
1000,4752.7
1000,4754.7
1002,4634.1
1002,4777.8
1004,4732.1
1004,4674.8
1006,4758.6
1006,4805.3
1008,4804.8
1008,4802.7
1010,4751.8
1010,4754.6
1012,4811.1
1012,4814.5
1014,4820.5
1014,4821.0
1016,4612.0
1016,4581.5
1018,4688.6
1018,4657.9
1020,4689.3
1020,4596.8
1022,4594.9
1022,4663.6
1024,4555.1
1024,4554.0
1026,4549.9
1026,4650.1
1028,4728.1
1028,4622.9
1030,4454.0
1030,4675.8
1032,4581.2
1032,4745.7
1034,4753.4
1034,4852.1
1036,4965.2
1036,5079.2
1038,5186.4
1038,5286.0
1040,5279.2
1040,5243.9
1042,5178.1
1042,5362.5
1044,5630.4
1044,5670.9
1046,5684.1
1046,5703.4
1048,5705.9
1048,5691.6
1050,5667.8
1050,5630.2
1052,5353.5
1052,5362.8
1054,5238.7
1054,5244.2
1056,5064.5
1056,5152.1
1058,5052.2
1058,4985.4
1060,4872.0
1060,4774.6
1062,4763.4
1062,4764.4
1064,4762.9
1064,4673.2
1066,4607.3
1066,4577.7
1068,4607.3
1068,4752.3
1070,4751.7
1070,4682.2
1072,4683.1
1072,4684.1
1074,4684.5
1074,4496.4
1076,4690.1
1076,4521.4
1078,4620.6
1078,4479.1
1080,4733.7
1080,4736.6
1082,4743.4
1082,4744.5
1084,4746.4
1084,4754.8
1086,4463.1
1086,4459.6
1088,4502.1
1088,4447.0
1090,4443.3
1090,4692.7
1092,4712.3
1092,4710.3
1094,4730.8
1094,4733.2
1096,4731.8
1096,4352.8
1098,4551.9
1098,4562.7
1100,4488.9
1100,4473.0
1102,4742.0
1102,4736.8
1104,4672.9
1104,4676.5
1106,4676.2
1106,4675.6
1108,4676.7
1108,4663.8
1110,4473.7
1110,4539.5
1112,4455.1
1112,4454.3
1114,4396.7
1114,4395.7
1116,4688.6
1116,4684.5
1118,4387.0
1118,4625.2
1120,4627.6
1120,4623.9
1122,4621.8
1122,4720.3
1124,4497.7
1124,4651.0
1126,4463.1
1126,4463.5
1128,4069.6
1128,4070.8
1130,4376.8
1130,4378.8
1132,4381.4
1132,4304.3
1134,4303.2
1134,4301.9
1136,4096.6
1136,4041.2
1138,4184.4
1138,4125.4
1140,4104.7
1140,4100.9
1142,4296.2
1142,4294.9
1144,4375.4
1144,4374.3
1146,4288.7
1146,4162.3
1148,4149.1
1148,4109.2
1150,4055.3
1150,4318.9
1152,4325.2
1152,4346.1
1154,4346.8
1154,4347.1
1156,4347.2
1156,4170.1
1158,4124.7
1158,4075.1
1160,4017.6
1160,4329.1
1162,4363.4
1162,4315.6
1164,4311.2
1164,4316.7
1166,4315.3
1166,4311.6
1168,4263.9
1168,4008.2
1170,4172.2
1170,4170.1
1172,4169.0
1172,4167.1
1174,4345.2
1174,4366.0
1176,4366.9
1176,4387.6
1178,4390.6
1178,4386.5
1180,4382.3
1180,4348.5
1182,4126.9
1182,4130.9
1184,4136.0
1184,4121.6
1186,4120.4
1186,4123.1
1188,4298.3
1188,4320.1
1190,4320.6
1190,4320.4
1192,4318.0
1192,4317.3
1194,4317.6
1194,4318.8
1196,4312.7
1196,4308.1
1198,4314.9
1198,4319.2
1200,4313.9
1200,4313.7
1202,4313.8
1202,4344.7
1204,4350.2
1204,4350.4
1206,4343.5
1206,4343.6
1208,4349.1
1208,4347.3
1210,4343.9
1210,4342.9
1212,4341.8
1212,4338.3
1214,4337.4
1214,4334.6
1216,4333.0
1216,4333.7
1218,4335.5
1218,4336.3
1219,4336.4
